"filename", "language", "TypeScript React", "TypeScript", "SCSS", "comment", "blank", "total"
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\App.tsx", "TypeScript React", 42, 0, 0, 8, 3, 53
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\components\button\button.component.tsx", "TypeScript React", 25, 0, 0, 0, 4, 29
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\components\button\button.styles.scss", "SCSS", 0, 0, 10, 0, 1, 11
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\components\cart-dropdown\cart-dropdown.component.tsx", "TypeScript React", 46, 0, 0, 0, 4, 50
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\components\cart-dropdown\cart.component.styles.scss", "SCSS", 0, 0, 43, 0, 3, 46
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\components\categories\categories.component.styles.scss", "SCSS", 0, 0, 26, 0, 4, 30
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\components\categories\categories.component.tsx", "TypeScript React", 37, 0, 0, 0, 6, 43
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\components\footer\footer.component.tsx", "TypeScript React", 34, 0, 0, 0, 3, 37
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\components\footer\footer.style.scss", "SCSS", 0, 0, 25, 0, 3, 28
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\components\not-found\notfound.component.tsx", "TypeScript React", 7, 0, 0, 0, 2, 9
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\components\product-card\product-card.component.styles.scss", "SCSS", 0, 0, 41, 7, 3, 51
"c:\Users\Nollaus\OneDrive\Desktop\Integrify\fs13-frontend-project\src\components\product-card\product-card.component.tsx", "TypeScript React", 118, 0, 0, 0, 12, 130
